,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
0,求文，adgg观影体有没有啊，adgg的！,text,艾斯鼻,https://aisibi76903.lofter.com/post/7452b0df_2b5c7788a,https://aisibi76903.lofter.com/,2022-06-20,2,7,7,7,7,7,7,0,5,0,0,0,0,0,5
1,【adgg】小骗子（下）,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5c776f7,https://platanus-occidentalis-l.lofter.com/,2022-06-20,4,7,7,7,7,7,7,1,3,0,0,0,0,0,3
2,占tag致歉，真的想要找一个群来磕ADGG,text,秦胤,https://sushidelaopo.lofter.com/post/31a45e26_2b5c7941d,https://sushidelaopo.lofter.com/,2022-06-20,1,5,5,5,5,5,5,2,4,0,0,0,0,0,4
3,【adgg】小骗子（中）,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5c664ec,https://platanus-occidentalis-l.lofter.com/,2022-06-20,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0
4,不速之客（下）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c60c5f,https://moinmoin150.lofter.com/,2022-06-20,16,21,26,28,28,28,28,4,5,5,2,0,0,0,12
5,【ADGG】红白玫瑰（50）,text,沨森空响,https://banzhujiang.lofter.com/post/1f6abc7b_2b5c5cbb6,https://banzhujiang.lofter.com/,2022-06-20,6,6,6,6,6,6,6,5,0,0,0,0,0,0,0
6,None,img,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5c56d24,https://andydufresne66959.lofter.com/,2022-06-20,4,5,6,6,6,6,6,6,1,1,0,0,0,0,2
7,【ADGG】这个GG就是逊啦（2）,text,楚潼,https://girlleianna.lofter.com/post/4b88e628_2b5c5850d,https://girlleianna.lofter.com/,2022-06-19,4,4,4,4,4,4,4,7,0,0,0,0,0,0,0
8,【adgg】星海（16）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5c545ca,https://chuxiadefengmu.lofter.com/,2022-06-19,10,13,14,14,14,14,14,8,3,1,0,0,0,0,4
9,《灰烬》03,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5c55103,https://2781260535.lofter.com/,2022-06-19,7,8,8,8,10,10,10,9,1,0,0,2,0,0,3
