,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index
0,现世GGAD《上帝的孩子》,text,火蜥蜴西维亚:Slywia,https://qinganbuan.lofter.com/post/31af0e76_2b5c7cf15,https://qinganbuan.lofter.com/,2022-06-20,0,1,4,4,4,4,4,0
1,糖果风波,text,翀澶,https://xujia09434.lofter.com/post/4cda57f8_2b5c2b085,https://xujia09434.lofter.com/,2022-06-20,2,4,6,6,6,7,7,1
2,缺席/Absence,text,安,https://zhanggui47354.lofter.com/post/32138e9e_2b5c7acc6,https://zhanggui47354.lofter.com/,2022-06-20,0,0,0,0,0,0,0,2
3,那被埋没的秘密,text,生活在狗粮世界的柠檬精,https://hanmoutouming.lofter.com/post/73c3ca59_2b5c77f17,https://hanmoutouming.lofter.com/,2022-06-20,0,0,0,0,0,0,0,3
4,None,img,八月暖心   ⃒⃘⃤,https://61411202.lofter.com/post/1fc9841b_2b5c77ae7,https://61411202.lofter.com/,2022-06-20,0,0,1,1,1,1,1,4
5,哈利波特与邓布利多的混血醋坛3,text,桃总老婆,https://taozongdexiaotianxin.lofter.com/post/3161e70e_2b5c7553f,https://taozongdexiaotianxin.lofter.com/,2022-06-20,1,4,4,4,4,4,4,5
6,Speculum imaginis,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5c78ead,https://zhonger84482.lofter.com/,2022-06-20,2,8,8,10,10,10,10,6
7,论想成为圣徒的我和亲友一起顶着oc的脸穿越了该怎么办,text,九福【迷·雨】,https://jiufu53664.lofter.com/post/312b031e_2b5c79595,https://jiufu53664.lofter.com/,2022-06-20,0,0,0,0,0,0,1,7
8,最后一封通信集（ggad）,text,星星,https://xingxing49152.lofter.com/post/7431baf6_2b5c75c57,https://xingxing49152.lofter.com/,2022-06-20,0,0,0,0,1,1,1,8
9,None,img,so cherish,https://gelindewoyuzuichu.lofter.com/post/74545f58_2b5c7af7b,https://gelindewoyuzuichu.lofter.com/,2022-06-20,0,0,0,0,0,0,0,9
10,[ggad/生子]囚禁10(补档),text,白圭,https://whitesi.lofter.com/post/1eade7e7_2b5c79c02,https://whitesi.lofter.com/,2022-06-20,0,0,0,0,0,0,0,10
11,找文,text,Neville Jane Olanjeuf⃒⃘⃤,https://fanmaihuanghundewenrou.lofter.com/post/4bdd0961_2b5c76610,https://fanmaihuanghundewenrou.lofter.com/,2022-06-20,0,1,1,1,1,1,1,11
12,Chapter7,text,寒溟散人,https://hanmingsanren.lofter.com/post/4c5188f0_2b5c79fe2,https://hanmingsanren.lofter.com/,2022-06-20,0,0,0,3,3,3,3,12
13,None,img,前朔,https://riscky47.lofter.com/post/351ea5_2b5c76637,https://riscky47.lofter.com/,2022-06-20,0,2,2,2,2,2,2,13
14,开坑,text,风落雪韵,https://yinglunlanxueyun.lofter.com/post/201890e7_2b5c75708,https://yinglunlanxueyun.lofter.com/,2022-06-20,0,2,4,4,4,4,5,14
15,13 麦格——用铁血手腕统治霍格沃茨的女人,text,半夜又饿醒了,https://banyeyouexingle.lofter.com/post/74375a6a_2b5c7626b,https://banyeyouexingle.lofter.com/,2022-06-20,17,24,24,24,24,24,24,15
16,［hp孙世代/阿不思.波特剧情向/副GGAD］Period.1 以父之名,text,波士顿大钟,https://www8479337.lofter.com/post/74adca14_2b5c52238,https://www8479337.lofter.com/,2022-06-20,0,4,4,4,4,4,4,16
17,【GGAD】当邓布利多从德姆斯特朗抱回一个孩子40,text,鱼鱼社畜中,https://yiduoxiaojinggui.lofter.com/post/3122439c_2b5c734f3,https://yiduoxiaojinggui.lofter.com/,2022-06-20,10,17,18,18,18,18,18,17
18,【HP】阅读体 预告,text,魔法永不落幕.,https://mofayongbuluomu93519.lofter.com/post/74e08335_2b5c71e39,https://mofayongbuluomu93519.lofter.com/,2022-06-20,1,2,2,2,2,2,2,18
19,卑微预收自推,text,缚草寒,https://fucaohan.lofter.com/post/74eb7589_2b5c72c3c,https://fucaohan.lofter.com/,2022-06-20,0,0,0,0,0,0,0,19
20,《圣芒戈日记》「GGAD’s Anatomy」4,text,红笔掉了,https://hongbidiaole.lofter.com/post/4c40725b_2b5c70d2a,https://hongbidiaole.lofter.com/,2022-06-20,3,7,7,7,7,7,7,20
21,交错时空3【哈利波特观影体】,text,九莲青良,https://bailu462.lofter.com/post/1f0799b6_2b5c6fa20,https://bailu462.lofter.com/,2022-06-20,4,13,13,13,13,13,14,21
22,GGAD 我的厄里斯,text,乌鸦鸦鸦鸦,https://huaqin57774.lofter.com/post/4cf85591_2b5a841e6,https://huaqin57774.lofter.com/,2022-06-20,3,3,4,4,4,4,4,22
23,None,img,GGAD粉头子,https://tianshui43593.lofter.com/post/4cf94c20_2b5c6e3b7,https://tianshui43593.lofter.com/,2022-06-20,0,0,0,2,2,2,2,23
24,None,img,浪漫始于盛夏.,https://cunshabaixiangjixingchenzhaixingxing.lofter.com/post/31d74085_2b5c6fd62,https://cunshabaixiangjixingchenzhaixingxing.lofter.com/,2022-06-20,0,0,0,0,0,0,0,24
25,None,img,纽蒙迦德的传信鸽,https://youxue86330.lofter.com/post/4c21accd_2b5c6ef14,https://youxue86330.lofter.com/,2022-06-20,0,0,0,0,0,0,0,25
26,我是说，如果,text,Lucky,https://yi99996533.lofter.com/post/742b95ca_2b5c6deaa,https://yi99996533.lofter.com/,2022-06-20,0,0,0,0,0,0,0,26
27,邓布利多最后悔的事r,text,阿猹猹,https://acccheng.lofter.com/post/1d2d6dfb_2b5c6a5ba,https://acccheng.lofter.com/,2022-06-20,2,2,2,2,2,2,2,27
28,哈利波特看平行世界(2),text,炊烟醉清风,https://luoriyuhui43967.lofter.com/post/73d3dc08_2b5c6c0c7,https://luoriyuhui43967.lofter.com/,2022-06-20,2,7,7,7,7,7,7,28
29,None,img,Echo,https://echo4625.lofter.com/post/1f8fc8bd_2b5c6cec1,https://echo4625.lofter.com/,2022-06-20,0,0,0,0,0,0,0,29
30,None,img,AJUN小真菌,https://toumingzhenjun95735.lofter.com/post/74935ddd_2b5c6f8b5,https://toumingzhenjun95735.lofter.com/,2022-06-20,20,26,28,32,33,35,37,30
31,【GGAD】无尽夏（完结）,text,狐安衾,https://anastaciablack.lofter.com/post/1d1e0d4b_2b5c536a9,https://anastaciablack.lofter.com/,2022-06-20,2,3,3,3,3,3,4,31
32,【GGAD】玫瑰,text,芊糍Crannie酱,https://yonezucrannie.lofter.com/post/205b3976_2b5c6f101,https://yonezucrannie.lofter.com/,2022-06-20,0,0,3,3,5,7,7,32
33,None,img,漓生,https://yumingsheng66447.lofter.com/post/4ca283fd_2b5c6866a,https://yumingsheng66447.lofter.com/,2022-06-20,0,0,0,0,0,0,0,33
34,[战败3 逃跑计划]GGAD,text,羁鸟.,https://y869456481.lofter.com/post/742cf466_2b5c68628,https://y869456481.lofter.com/,2022-06-20,7,8,9,11,11,11,11,34
35,关于结局,text,林深见鹿，梦醒见你,https://yonghu3757364461.lofter.com/post/1fcd8786_2b5c6be6f,https://yonghu3757364461.lofter.com/,2022-06-20,1,1,1,1,1,1,1,35
36,一些老梗,text,果子,https://221liguo679.lofter.com/post/1f5b0325_2b5c6985f,https://221liguo679.lofter.com/,2022-06-20,0,0,0,0,0,0,0,36
37,None,img,一只小菜鸡,https://ziziziqie.lofter.com/post/4d209b08_2b5c676b8,https://ziziziqie.lofter.com/,2022-06-20,1,4,4,4,4,4,4,37
38,None,img,今天的GGAD复婚了吗,https://suiran07335.lofter.com/post/4b4dd28e_2b5c6383f,https://suiran07335.lofter.com/,2022-06-20,1,2,2,2,2,2,2,38
39,怎样用女儿挽回老相好71,text,Anna-图兰朵,https://anna-tulanduo.lofter.com/post/1f61c809_2b5ba8f71,https://anna-tulanduo.lofter.com/,2022-06-20,5,5,5,5,5,5,5,39
40,『群像』Dream 【序】,text,风气候,https://fqh06.lofter.com/post/74b60a13_2b5c67f31,https://fqh06.lofter.com/,2022-06-20,3,3,5,6,15,15,15,40
41,None,img,Fay,https://fay6069944.lofter.com/post/73e11a45_2b5c64705,https://fay6069944.lofter.com/,2022-06-20,2,3,3,3,3,3,3,41
42,【ggad】发一些ad角色解读,text,夜雨声寒,https://lovewolverine.lofter.com/post/2db328_2b5c64296,https://lovewolverine.lofter.com/,2022-06-20,1,1,1,1,1,1,1,42
43,【GGAD/Thesewt】假如当初订下的血盟是永不变心、绝不分离（中）,text,✨燕安鸩毒✨,https://ginyinlawliet.lofter.com/post/1ef7e066_2b5c651ad,https://ginyinlawliet.lofter.com/,2022-06-20,8,13,13,13,13,13,13,43
44,HP人生目标是阿兹卡班的我在赫奇帕奇一定有哪里不对10,text,陆凛,https://lulin857.lofter.com/post/1f707746_2b5c6460d,https://lulin857.lofter.com/,2022-06-20,4,4,4,4,4,4,4,44
45,【FB|GGad】《Countryside》[35],text,StarTalers,https://startalers.lofter.com/post/3191930e_2b5c62ad5,https://startalers.lofter.com/,2022-06-20,17,20,20,22,24,25,25,45
46,GGAD通信集［Thirty-Five Owls］【精修】,text,罗釉,https://feidu825.lofter.com/post/1fd71824_2b5c6052f,https://feidu825.lofter.com/,2022-06-20,0,3,3,3,3,3,3,46
47,【GGAD】用歌声引诱的爱情可以长久的对吧,text,罗莎琳德小姐   ⃒⃘⃤,https://rosalind1899.lofter.com/post/4c6bb6eb_2b5c61f86,https://rosalind1899.lofter.com/,2022-06-20,2,4,4,5,5,5,5,47
48,不速之客（下）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c60c5f,https://moinmoin150.lofter.com/,2022-06-20,16,21,26,28,28,28,28,48
49,【GGAD】幸存者救助中心,text,SherbetLemons,https://sherbetlemons12.lofter.com/post/30c22563_2b5c61e11,https://sherbetlemons12.lofter.com/,2022-06-20,1,1,1,1,1,1,1,49
50,None,img,看到走来的逆家吓得我赶紧打一套军体拳,https://shuidaozhongwuhaoye.lofter.com/post/204d2b1b_2b5c607bc,https://shuidaozhongwuhaoye.lofter.com/,2022-06-20,0,0,0,0,0,0,0,50
51,None,img,小包一挎,https://shaoyedeqingpingguo40033.lofter.com/post/4cdab2a3_2b5c5d23a,https://shaoyedeqingpingguo40033.lofter.com/,2022-06-20,3,6,8,10,10,10,11,51
52,GGAD之带娃记,text,海影云墨,https://haiyingyunmo.lofter.com/post/74e32c67_2b5c6022e,https://haiyingyunmo.lofter.com/,2022-06-20,9,9,9,9,9,9,9,52
53,第二章 两个邓布利多,text,writing.,https://writing64027.lofter.com/post/74d00dc6_2b5c5d0e5,https://writing64027.lofter.com/,2022-06-20,0,3,3,7,12,14,14,53
54,【GGAD】Binding But Gift chapter 1,text,Echo,https://echo4625.lofter.com/post/1f8fc8bd_2b5c5c8de,https://echo4625.lofter.com/,2022-06-20,2,3,7,7,7,7,7,54
55,【GGAD】老婆变年轻之后和他do了（bl）,text,有机酸_【可约稿/看置顶】,https://youjisuan76576.lofter.com/post/74e1617f_2b5c5b59b,https://youjisuan76576.lofter.com/,2022-06-20,3,3,3,3,3,4,4,55
56,阿不思与一些不上学的孩子的不解之缘,text,海影云墨,https://haiyingyunmo.lofter.com/post/74e32c67_2b5c58c2b,https://haiyingyunmo.lofter.com/,2022-06-20,0,1,4,4,4,4,4,56
57,【GGAD】那年，你曾说过你爱我（下）,text,一头要变廋的猪,https://yier720094.lofter.com/post/741e0d3b_2b5c5a21a,https://yier720094.lofter.com/,2022-06-20,0,0,0,0,0,0,0,57
58,None,img,Ezekiel,https://wangpangshuangmulin.lofter.com/post/4c775c1e_2b5c5b5e7,https://wangpangshuangmulin.lofter.com/,2022-06-20,0,0,0,0,0,0,0,58
59,None,img,纽蒙迦德厨房    ⃒⃘⃤,https://xiaodingxiang092.lofter.com/post/30f24784_2b5c59265,https://xiaodingxiang092.lofter.com/,2022-06-20,3,3,3,3,3,3,3,59
60,我捍卫你的爱 第二十五章,text,陈埃,https://chenai226.lofter.com/post/2011526d_2b5c4fe4b,https://chenai226.lofter.com/,2022-06-19,8,8,8,8,8,8,8,60
61,None,img,来自China的鹰院学生,https://xiaopixuan29488.lofter.com/post/7439940f_2b5c5a4c2,https://xiaopixuan29488.lofter.com/,2022-06-19,0,0,0,0,0,0,0,61
62,【GGAD】我导师和他男朋友又双叒叕分手了,text,有机酸_【可约稿/看置顶】,https://youjisuan76576.lofter.com/post/74e1617f_2b5c47897,https://youjisuan76576.lofter.com/,2022-06-19,1,1,1,1,1,1,1,62
63,None,img,h哈利的海德薇p,https://chiyu52771.lofter.com/post/4c97b478_2b5c5a07a,https://chiyu52771.lofter.com/,2022-06-19,2,3,3,3,3,3,3,63
64,None,img,诺,https://nuo1400295.lofter.com/post/74d13c74_2b5c57685,https://nuo1400295.lofter.com/,2022-06-19,15,17,17,17,17,19,21,64
65,【ggad】盖勒特，你能不能干点人事？,text,佟滦,https://ameliagrindelwald.lofter.com/post/309c784b_2b5b85c41,https://ameliagrindelwald.lofter.com/,2022-06-19,5,6,7,14,21,25,31,65
