,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
0,求文，adgg观影体有没有啊，adgg的！,text,艾斯鼻,https://aisibi76903.lofter.com/post/7452b0df_2b5c7788a,https://aisibi76903.lofter.com/,2022-06-20,0,8,8,8,8,8,8,0,8,0,0,0,0,0,8
1,【adgg】小骗子（下）,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5c776f7,https://platanus-occidentalis-l.lofter.com/,2022-06-20,9,36,45,51,51,55,55,1,27,9,6,0,4,0,46
2,占tag致歉，真的想要找一个群来磕ADGG,text,秦胤,https://sushidelaopo.lofter.com/post/31a45e26_2b5c7941d,https://sushidelaopo.lofter.com/,2022-06-20,0,4,4,4,4,4,4,2,4,0,0,0,0,0,4
3,【adgg】小骗子（中）,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5c664ec,https://platanus-occidentalis-l.lofter.com/,2022-06-20,28,31,37,40,41,46,46,3,3,6,3,1,5,0,18
4,不速之客（下）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c60c5f,https://moinmoin150.lofter.com/,2022-06-20,57,63,66,72,80,85,85,4,6,3,6,8,5,0,28
5,【ADGG】红白玫瑰（50）,text,沨森空响,https://banzhujiang.lofter.com/post/1f6abc7b_2b5c5cbb6,https://banzhujiang.lofter.com/,2022-06-20,42,49,54,63,64,69,69,5,7,5,9,1,5,0,27
6,None,img,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5c56d24,https://andydufresne66959.lofter.com/,2022-06-20,31,59,71,75,86,92,92,6,28,12,4,11,6,0,61
7,【ADGG】这个GG就是逊啦（2）,text,楚潼,https://girlleianna.lofter.com/post/4b88e628_2b5c5850d,https://girlleianna.lofter.com/,2022-06-19,31,44,55,58,62,64,64,7,13,11,3,4,2,0,33
8,【adgg】星海（16）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5c545ca,https://chuxiadefengmu.lofter.com/,2022-06-19,107,126,122,124,127,134,134,8,19,-4,2,3,7,0,27
9,《灰烬》03,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5c55103,https://2781260535.lofter.com/,2022-06-19,64,85,91,96,104,105,105,9,21,6,5,8,1,0,41
10,[ADGG]这个GG就是逊啦（1）,text,楚潼,https://girlleianna.lofter.com/post/4b88e628_2b5c27462,https://girlleianna.lofter.com/,2022-06-19,39,58,65,68,78,83,83,10,19,7,3,10,5,0,44
