,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
0,现世GGAD《上帝的孩子》,text,火蜥蜴西维亚:Slywia,https://qinganbuan.lofter.com/post/31af0e76_2b5c7cf15,https://qinganbuan.lofter.com/,2022-06-20,0,14,18,19,20,20,22,0,14,4,1,1,0,2,22
1,糖果风波,text,翀澶,https://xujia09434.lofter.com/post/4cda57f8_2b5c2b085,https://xujia09434.lofter.com/,2022-06-20,6,66,83,88,91,104,108,1,60,17,5,3,13,4,102
2,缺席/Absence,text,安,https://zhanggui47354.lofter.com/post/32138e9e_2b5c7acc6,https://zhanggui47354.lofter.com/,2022-06-20,2,5,5,5,5,5,5,2,3,0,0,0,0,0,3
3,那被埋没的秘密,text,生活在狗粮世界的柠檬精,https://hanmoutouming.lofter.com/post/73c3ca59_2b5c77f17,https://hanmoutouming.lofter.com/,2022-06-20,0,1,1,1,2,2,2,3,1,0,0,1,0,0,2
4,None,img,八月暖心   ⃒⃘⃤,https://61411202.lofter.com/post/1fc9841b_2b5c77ae7,https://61411202.lofter.com/,2022-06-20,3,16,19,21,22,23,23,4,13,3,2,1,1,0,20
5,哈利波特与邓布利多的混血醋坛3,text,桃总老婆,https://taozongdexiaotianxin.lofter.com/post/3161e70e_2b5c7553f,https://taozongdexiaotianxin.lofter.com/,2022-06-20,5,20,27,31,32,33,35,5,15,7,4,1,1,2,30
6,Speculum imaginis,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5c78ead,https://zhonger84482.lofter.com/,2022-06-20,21,49,54,54,56,57,59,6,28,5,0,2,1,2,38
7,论想成为圣徒的我和亲友一起顶着oc的脸穿越了该怎么办,text,九福【迷·雨】,https://jiufu53664.lofter.com/post/312b031e_2b5c79595,https://jiufu53664.lofter.com/,2022-06-20,5,13,19,20,20,21,25,7,8,6,1,0,1,4,20
8,最后一封通信集（ggad）,text,星星,https://xingxing49152.lofter.com/post/7431baf6_2b5c75c57,https://xingxing49152.lofter.com/,2022-06-20,2,21,29,30,30,33,36,8,19,8,1,0,3,3,34
9,None,img,so cherish,https://gelindewoyuzuichu.lofter.com/post/74545f58_2b5c7af7b,https://gelindewoyuzuichu.lofter.com/,2022-06-20,0,4,4,4,4,4,4,9,4,0,0,0,0,0,4
10,[ggad/生子]囚禁10(补档),text,白圭,https://whitesi.lofter.com/post/1eade7e7_2b5c79c02,https://whitesi.lofter.com/,2022-06-20,4,12,12,13,18,18,18,10,8,0,1,5,0,0,14
11,找文,text,Neville Jane Olanjeuf⃒⃘⃤,https://fanmaihuanghundewenrou.lofter.com/post/4bdd0961_2b5c76610,https://fanmaihuanghundewenrou.lofter.com/,2022-06-20,0,2,2,2,2,2,2,11,2,0,0,0,0,0,2
12,Chapter7,text,寒溟散人,https://hanmingsanren.lofter.com/post/4c5188f0_2b5c79fe2,https://hanmingsanren.lofter.com/,2022-06-20,1,5,7,8,8,8,10,12,4,2,1,0,0,2,9
13,None,img,前朔,https://riscky47.lofter.com/post/351ea5_2b5c76637,https://riscky47.lofter.com/,2022-06-20,4,17,27,27,29,31,31,13,13,10,0,2,2,0,27
14,开坑,text,风落雪韵,https://yinglunlanxueyun.lofter.com/post/201890e7_2b5c75708,https://yinglunlanxueyun.lofter.com/,2022-06-20,0,1,5,5,5,5,6,14,1,4,0,0,0,1,6
15,13 麦格——用铁血手腕统治霍格沃茨的女人,text,半夜又饿醒了,https://banyeyouexingle.lofter.com/post/74375a6a_2b5c7626b,https://banyeyouexingle.lofter.com/,2022-06-20,26,56,63,65,65,69,74,15,30,7,2,0,4,5,48
16,［hp孙世代/阿不思.波特剧情向/副GGAD］Period.1 以父之名,text,波士顿大钟,https://www8479337.lofter.com/post/74adca14_2b5c52238,https://www8479337.lofter.com/,2022-06-20,2,4,5,5,6,6,6,16,2,1,0,1,0,0,4
17,【GGAD】当邓布利多从德姆斯特朗抱回一个孩子40,text,鱼鱼社畜中,https://yiduoxiaojinggui.lofter.com/post/3122439c_2b5c734f3,https://yiduoxiaojinggui.lofter.com/,2022-06-20,109,196,213,219,219,226,231,17,87,17,6,0,7,5,122
18,【HP】阅读体 预告,text,魔法永不落幕.,https://mofayongbuluomu93519.lofter.com/post/74e08335_2b5c71e39,https://mofayongbuluomu93519.lofter.com/,2022-06-20,4,12,16,16,17,16,16,18,8,4,0,1,-1,0,12
19,卑微预收自推,text,缚草寒,https://fucaohan.lofter.com/post/74eb7589_2b5c72c3c,https://fucaohan.lofter.com/,2022-06-20,0,2,2,2,2,2,2,19,2,0,0,0,0,0,2
20,《圣芒戈日记》「GGAD’s Anatomy」4,text,红笔掉了,https://hongbidiaole.lofter.com/post/4c40725b_2b5c70d2a,https://hongbidiaole.lofter.com/,2022-06-20,24,36,40,41,41,43,43,20,12,4,1,0,2,0,19
21,交错时空3【哈利波特观影体】,text,九莲青良,https://bailu462.lofter.com/post/1f0799b6_2b5c6fa20,https://bailu462.lofter.com/,2022-06-20,47,88,104,118,134,142,156,21,41,16,14,16,8,14,109
22,GGAD 我的厄里斯,text,乌鸦鸦鸦鸦,https://huaqin57774.lofter.com/post/4cf85591_2b5a841e6,https://huaqin57774.lofter.com/,2022-06-20,3,8,12,12,14,20,20,22,5,4,0,2,6,0,17
23,None,img,GGAD粉头子,https://tianshui43593.lofter.com/post/4cf94c20_2b5c6e3b7,https://tianshui43593.lofter.com/,2022-06-20,5,17,21,27,30,31,39,23,12,4,6,3,1,8,34
24,None,img,浪漫始于盛夏.,https://cunshabaixiangjixingchenzhaixingxing.lofter.com/post/31d74085_2b5c6fd62,https://cunshabaixiangjixingchenzhaixingxing.lofter.com/,2022-06-20,8,17,20,20,21,21,21,24,9,3,0,1,0,0,13
25,None,img,纽蒙迦德的传信鸽,https://youxue86330.lofter.com/post/4c21accd_2b5c6ef14,https://youxue86330.lofter.com/,2022-06-20,1,2,2,2,2,2,2,25,1,0,0,0,0,0,1
26,我是说，如果,text,Lucky,https://yi99996533.lofter.com/post/742b95ca_2b5c6deaa,https://yi99996533.lofter.com/,2022-06-20,3,4,4,4,4,4,4,26,1,0,0,0,0,0,1
27,邓布利多最后悔的事r,text,阿猹猹,https://acccheng.lofter.com/post/1d2d6dfb_2b5c6a5ba,https://acccheng.lofter.com/,2022-06-20,2,3,3,3,3,3,3,27,1,0,0,0,0,0,1
28,哈利波特看平行世界(2),text,炊烟醉清风,https://luoriyuhui43967.lofter.com/post/73d3dc08_2b5c6c0c7,https://luoriyuhui43967.lofter.com/,2022-06-20,21,31,36,38,41,42,42,28,10,5,2,3,1,0,21
29,None,img,Echo,https://echo4625.lofter.com/post/1f8fc8bd_2b5c6cec1,https://echo4625.lofter.com/,2022-06-20,2,6,6,6,6,6,6,29,4,0,0,0,0,0,4
30,None,img,AJUN小真菌,https://toumingzhenjun95735.lofter.com/post/74935ddd_2b5c6f8b5,https://toumingzhenjun95735.lofter.com/,2022-06-20,345,793,1041,1274,1545,1789,1992,30,448,248,233,271,244,203,1647
31,【GGAD】无尽夏（完结）,text,狐安衾,https://anastaciablack.lofter.com/post/1d1e0d4b_2b5c536a9,https://anastaciablack.lofter.com/,2022-06-20,36,50,51,62,70,70,82,31,14,1,11,8,0,12,46
32,【GGAD】玫瑰,text,芊糍Crannie酱,https://yonezucrannie.lofter.com/post/205b3976_2b5c6f101,https://yonezucrannie.lofter.com/,2022-06-20,1,13,26,28,33,39,39,32,12,13,2,5,6,0,38
33,None,img,漓生,https://yumingsheng66447.lofter.com/post/4ca283fd_2b5c6866a,https://yumingsheng66447.lofter.com/,2022-06-20,1,2,2,2,2,2,2,33,1,0,0,0,0,0,1
34,[战败3 逃跑计划]GGAD,text,羁鸟.,https://y869456481.lofter.com/post/742cf466_2b5c68628,https://y869456481.lofter.com/,2022-06-20,12,22,35,46,52,55,65,34,10,13,11,6,3,10,53
35,关于结局,text,林深见鹿，梦醒见你,https://yonghu3757364461.lofter.com/post/1fcd8786_2b5c6be6f,https://yonghu3757364461.lofter.com/,2022-06-20,0,1,1,1,1,1,1,35,1,0,0,0,0,0,1
36,一些老梗,text,果子,https://221liguo679.lofter.com/post/1f5b0325_2b5c6985f,https://221liguo679.lofter.com/,2022-06-20,10,23,32,38,39,45,46,36,13,9,6,1,6,1,36
37,None,img,一只小菜鸡,https://ziziziqie.lofter.com/post/4d209b08_2b5c676b8,https://ziziziqie.lofter.com/,2022-06-20,11,18,19,19,20,20,20,37,7,1,0,1,0,0,9
38,None,img,今天的GGAD复婚了吗,https://suiran07335.lofter.com/post/4b4dd28e_2b5c6383f,https://suiran07335.lofter.com/,2022-06-20,2,4,4,4,4,4,4,38,2,0,0,0,0,0,2
39,怎样用女儿挽回老相好71,text,Anna-图兰朵,https://anna-tulanduo.lofter.com/post/1f61c809_2b5ba8f71,https://anna-tulanduo.lofter.com/,2022-06-20,63,70,67,67,68,68,69,39,7,-3,0,1,0,1,6
40,『群像』Dream 【序】,text,风气候,https://fqh06.lofter.com/post/74b60a13_2b5c67f31,https://fqh06.lofter.com/,2022-06-20,18,23,23,24,26,29,30,40,5,0,1,2,3,1,12
41,None,img,Fay,https://fay6069944.lofter.com/post/73e11a45_2b5c64705,https://fay6069944.lofter.com/,2022-06-20,7,14,20,20,20,21,22,41,7,6,0,0,1,1,15
42,【ggad】发一些ad角色解读,text,夜雨声寒,https://lovewolverine.lofter.com/post/2db328_2b5c64296,https://lovewolverine.lofter.com/,2022-06-20,24,38,41,41,41,46,47,42,14,3,0,0,5,1,23
43,【GGAD/Thesewt】假如当初订下的血盟是永不变心、绝不分离（中）,text,✨燕安鸩毒✨,https://ginyinlawliet.lofter.com/post/1ef7e066_2b5c651ad,https://ginyinlawliet.lofter.com/,2022-06-20,87,123,129,133,135,136,137,43,36,6,4,2,1,1,50
44,HP人生目标是阿兹卡班的我在赫奇帕奇一定有哪里不对10,text,陆凛,https://lulin857.lofter.com/post/1f707746_2b5c6460d,https://lulin857.lofter.com/,2022-06-20,10,20,21,21,21,21,21,44,10,1,0,0,0,0,11
45,【FB|GGad】《Countryside》[35],text,StarTalers,https://startalers.lofter.com/post/3191930e_2b5c62ad5,https://startalers.lofter.com/,2022-06-20,146,186,193,201,205,215,221,45,40,7,8,4,10,6,75
46,GGAD通信集［Thirty-Five Owls］【精修】,text,罗釉,https://feidu825.lofter.com/post/1fd71824_2b5c6052f,https://feidu825.lofter.com/,2022-06-20,5,10,13,15,15,15,15,46,5,3,2,0,0,0,10
47,【GGAD】用歌声引诱的爱情可以长久的对吧,text,罗莎琳德小姐   ⃒⃘⃤,https://rosalind1899.lofter.com/post/4c6bb6eb_2b5c61f86,https://rosalind1899.lofter.com/,2022-06-20,6,11,15,18,18,18,19,47,5,4,3,0,0,1,13
48,不速之客（下）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c60c5f,https://moinmoin150.lofter.com/,2022-06-20,57,63,66,72,80,84,87,48,6,3,6,8,4,3,30
49,【GGAD】幸存者救助中心,text,SherbetLemons,https://sherbetlemons12.lofter.com/post/30c22563_2b5c61e11,https://sherbetlemons12.lofter.com/,2022-06-20,7,13,15,15,15,15,15,49,6,2,0,0,0,0,8
50,None,img,看到走来的逆家吓得我赶紧打一套军体拳,https://shuidaozhongwuhaoye.lofter.com/post/204d2b1b_2b5c607bc,https://shuidaozhongwuhaoye.lofter.com/,2022-06-20,1,4,4,4,4,4,4,50,3,0,0,0,0,0,3
51,None,img,小包一挎,https://shaoyedeqingpingguo40033.lofter.com/post/4cdab2a3_2b5c5d23a,https://shaoyedeqingpingguo40033.lofter.com/,2022-06-20,93,210,276,320,372,417,453,51,117,66,44,52,45,36,360
52,GGAD之带娃记,text,海影云墨,https://haiyingyunmo.lofter.com/post/74e32c67_2b5c6022e,https://haiyingyunmo.lofter.com/,2022-06-20,9,14,22,25,28,29,31,52,5,8,3,3,1,2,22
53,第二章 两个邓布利多,text,writing.,https://writing64027.lofter.com/post/74d00dc6_2b5c5d0e5,https://writing64027.lofter.com/,2022-06-20,9,12,14,22,32,35,48,53,3,2,8,10,3,13,39
54,【GGAD】Binding But Gift chapter 1,text,Echo,https://echo4625.lofter.com/post/1f8fc8bd_2b5c5c8de,https://echo4625.lofter.com/,2022-06-20,4,9,11,11,11,11,11,54,5,2,0,0,0,0,7
55,【GGAD】老婆变年轻之后和他do了（bl）,text,有机酸_【可约稿/看置顶】,https://youjisuan76576.lofter.com/post/74e1617f_2b5c5b59b,https://youjisuan76576.lofter.com/,2022-06-20,5,6,7,8,9,10,11,55,1,1,1,1,1,1,6
56,阿不思与一些不上学的孩子的不解之缘,text,海影云墨,https://haiyingyunmo.lofter.com/post/74e32c67_2b5c58c2b,https://haiyingyunmo.lofter.com/,2022-06-20,7,10,10,10,10,10,10,56,3,0,0,0,0,0,3
